"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"252607_at";7707;NA;NA;NA;NA;NA;NA;0.1371;0.0075;"0";NA;NA;NA
"252618_at";7718;2.2169;"0.0645";"0,0003";NA;NA;NA;NA;NA;NA;0.3574;"0,0008";"0"
"252624_at";7724;0.5088;"0.0985";"0,0008";NA;NA;NA;NA;NA;NA;1.344;"0.0777";"0.0026"
"252746_at";7846;2.7427;"0.0392";"0,0001";4.5238;0.0177;"0";9.2381;0.0022;"0";NA;NA;NA
"252882_at";7982;0.4209;"0.0535";"0,0002";NA;NA;NA;NA;NA;NA;2.7193;"0,0002";"0"
"252965_at";8065;NA;NA;NA;NA;NA;NA;0.1514;0.0128;"0";0.2568;"0,0001";"0"
"252970_at";8070;0.4146;"0.0535";"0,0002";NA;NA;NA;NA;NA;NA;0.4209;"0.0031";"0"
"252983_at";8083;NA;NA;NA;NA;NA;NA;0.3052;0.0993;"0,0004";NA;NA;NA
"253041_at";8141;NA;NA;NA;2.782;0.0609;"0,0001";NA;NA;NA;NA;NA;NA
"253172_at";8272;0.4045;"0.0475";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253177_s_at";8277;3.7565;"0.0198";"0";NA;NA;NA;5.95;0.0133;"0";NA;NA;NA
"253191_at";8291;0.5022;"0.0947";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253207_at";8307;NA;NA;NA;NA;NA;NA;0.1137;0.0055;"0";0.1479;"0";"0"
"253255_at";8355;NA;NA;NA;NA;NA;NA;0.3019;0.0999;"0,0004";0.4642;"0.0048";"0,0001"
"253278_at";8378;NA;NA;NA;NA;NA;NA;0.2727;0.0765;"0,0002";0.4619;"0.0045";"0,0001"
"253301_at";8401;NA;NA;NA;NA;NA;NA;0.0907;0.0043;"0";NA;NA;NA
